pca_components,min_cluster_size,min_samples,method,epsilon,n_clusters,n_noise,coverage,dbcv,base_score,count_penalty,final_score
2,80,5,leaf,1.0,2,689,0.3696,0.0025,0.0009,1.0,0.0009
2,80,10,eom,0.0,0,1093,0.0,0.0,0.0,0.7692,0.0
2,80,10,eom,0.3,0,1093,0.0,0.0,0.0,0.7692,0.0
2,80,10,eom,0.5,0,1093,0.0,0.0,0.0,0.7692,0.0
2,80,10,eom,1.0,0,1093,0.0,0.0,0.0,0.7692,0.0
2,80,10,leaf,0.0,0,1093,0.0,0.0,0.0,0.7692,0.0
2,80,10,leaf,0.3,0,1093,0.0,0.0,0.0,0.7692,0.0
2,80,10,leaf,0.5,0,1093,0.0,0.0,0.0,0.7692,0.0
2,80,10,leaf,1.0,0,1093,0.0,0.0,0.0,0.7692,0.0
5,10,1,eom,0.0,2,384,0.6487,0.0006,0.0004,1.0,0.0004
5,10,1,eom,0.3,2,384,0.6487,0.0006,0.0004,1.0,0.0004
5,10,1,eom,0.5,2,384,0.6487,0.0006,0.0004,1.0,0.0004
5,10,1,eom,1.0,2,384,0.6487,0.0006,0.0004,1.0,0.0004
5,10,1,leaf,0.0,16,796,0.2717,0.0298,0.0081,0.3226,0.0026
5,10,1,leaf,0.3,16,796,0.2717,0.0298,0.0081,0.3226,0.0026
5,10,1,leaf,0.5,16,796,0.2717,0.0298,0.0081,0.3226,0.0026
5,10,1,leaf,1.0,14,764,0.301,0.0162,0.0049,0.3571,0.0017
5,10,3,eom,0.0,5,886,0.1894,0.0148,0.0028,0.6897,0.0019
5,10,3,eom,0.3,5,886,0.1894,0.0148,0.0028,0.6897,0.0019
5,10,3,eom,0.5,5,886,0.1894,0.0148,0.0028,0.6897,0.0019
5,10,3,eom,1.0,5,886,0.1894,0.0148,0.0028,0.6897,0.0019
5,10,3,leaf,0.0,6,955,0.1263,0.0149,0.0019,0.625,0.0012
5,10,3,leaf,0.3,6,955,0.1263,0.0149,0.0019,0.625,0.0012
5,10,3,leaf,0.5,6,955,0.1263,0.0149,0.0019,0.625,0.0012
5,10,3,leaf,1.0,6,955,0.1263,0.0149,0.0019,0.625,0.0012
5,10,5,eom,0.0,2,855,0.2177,0.0001,0.0,1.0,0.0
5,10,5,eom,0.3,2,855,0.2177,0.0001,0.0,1.0,0.0
5,10,5,eom,0.5,2,855,0.2177,0.0001,0.0,1.0,0.0
5,10,5,eom,1.0,2,855,0.2177,0.0001,0.0,1.0,0.0
5,10,5,leaf,0.0,8,974,0.1089,0.0124,0.0013,0.5263,0.0007
5,10,5,leaf,0.3,8,974,0.1089,0.0124,0.0013,0.5263,0.0007
5,10,5,leaf,0.5,8,974,0.1089,0.0124,0.0013,0.5263,0.0007
5,10,5,leaf,1.0,8,974,0.1089,0.0124,0.0013,0.5263,0.0007
5,10,10,eom,0.0,2,852,0.2205,0.0002,0.0,1.0,0.0
5,10,10,eom,0.3,2,852,0.2205,0.0002,0.0,1.0,0.0
5,10,10,eom,0.5,2,852,0.2205,0.0002,0.0,1.0,0.0
5,10,10,eom,1.0,2,852,0.2205,0.0002,0.0,1.0,0.0
5,10,10,leaf,0.0,3,1008,0.0778,0.0119,0.0009,0.8696,0.0008
5,10,10,leaf,0.3,3,1008,0.0778,0.0119,0.0009,0.8696,0.0008
5,10,10,leaf,0.5,3,1008,0.0778,0.0119,0.0009,0.8696,0.0008
5,10,10,leaf,1.0,3,1008,0.0778,0.0119,0.0009,0.8696,0.0008
5,15,1,eom,0.0,9,867,0.2068,0.0035,0.0007,0.4878,0.0003
5,15,1,eom,0.3,9,867,0.2068,0.0035,0.0007,0.4878,0.0003
5,15,1,eom,0.5,9,867,0.2068,0.0035,0.0007,0.4878,0.0003
5,15,1,eom,1.0,8,791,0.2763,0.1327,0.0367,0.5263,0.0193
5,15,1,leaf,0.0,9,867,0.2068,0.0035,0.0007,0.4878,0.0003
5,15,1,leaf,0.3,9,867,0.2068,0.0035,0.0007,0.4878,0.0003
5,15,1,leaf,0.5,9,867,0.2068,0.0035,0.0007,0.4878,0.0003
5,15,1,leaf,1.0,8,791,0.2763,0.1327,0.0367,0.5263,0.0193
5,15,3,eom,0.0,4,871,0.2031,0.0002,0.0,0.7692,0.0
5,15,3,eom,0.3,4,871,0.2031,0.0002,0.0,0.7692,0.0
